MX-Einträge
Priorität,Hostname,Verweist auf die Adresse oder den Wert,TTL 
0,@,Ignident-com.mail.protection.outlook.com,3600

CNAME-Einträge
Hostname,Verweist auf die Adresse oder den Wert,TTL 
autodiscover,autodiscover.outlook.com,3600
sip,sipdir.online.lync.com,3600
lyncdiscover,webdir.online.lync.com,3600
enterpriseregistration,enterpriseregistration.windows.net,3600
enterpriseenrollment,enterpriseenrollment-s.manage.microsoft.com,3600

TXT-Einträge
TXT-Name,TXT-Wert,TTL 
@,v=spf1 include:spf.protection.outlook.com -all,3600

SRV-Einträge
Dienst,Protokoll,Port,Gewichtung,Priorität,TTL ,Name,Ziel
_sip,_tls,443,1,100,3600,@,sipdir.online.lync.com
_sipfederationtls,_tcp,5061,1,100,3600,@,sipfed.online.lync.com
